	लट्लकारः	लोट्लकारः	लङ्लकारः	विधिलिङ्लकारः	लृट्लकारः	लुट्लकारः	आशीर्लिङ्लकारः	लृङ्लकारः	लिट्लकारः	लुङ्लकारः
	बालकौ/बालिके क्रोधं जहीतः	बालकौ/बालिके क्रोधं जहीताम्	बालकौ/बालिके क्रोधम् अजहीताम्	बालकौ/बालिके क्रोधं जह्याताम्	बालकौ/बालिके क्रोधं हास्यतः	बालकौ/बालिके क्रोधं हातारौ	बालकौ/बालिके क्रोधं हेयास्ताम्	बालकौ/बालिके क्रोधम् अहास्यताम्	बालकौ/बालिके क्रोधं जहतुः	बालकौ/बालिके क्रोधम् अहासिष्टम्
	बालकाः/बालिकाः क्रोधं जहति	बालकाः/बालिकाः क्रोधं जहतु	बालकाः/बालिकाः क्रोधम् अजहीत	बालकाः/बालिकाः क्रोधं जह्युः	बालकाः/बालिकाः क्रोधं हास्यन्ति	बालकाः/बालिकाः क्रोधं हातारः	बालकाः/बालिकाः क्रोधं हेयासुः	बालकाः/बालिकाः क्रोधम् अहास्यन्	बालकाः/बालिकाः क्रोधं जहुः	बालकाः/बालिकाः क्रोधम् अहासिष्ट
										
मध्यमपुरुषः	त्वं क्रोधं जहासि	त्वं क्रोधं जहाहि, क्रोधं जहीहि	त्वं क्रोधम् अजहाः	त्वं क्रोधं जह्याः	त्वं क्रोधं हास्यसि	त्वं क्रोधं हातासि	त्वं क्रोधं हेयाः	त्वं क्रोधम् अहास्यः	त्वं क्रोधं जहिथ, क्रोधं जहाथ	त्वं क्रोधम् अहासीः
	युवां क्रोधं जहीथः	युवां क्रोधं जहीतम्	युवां क्रोधम् अजहीतम्	युवां क्रोधं जह्यातम्	युवां क्रोधं हास्यथः	युवां क्रोधं हातास्थः	युवां क्रोधं हेयास्तम्	युवां क्रोधम् अहास्यतम्	युवां क्रोधं जहथुः	युवां क्रोधम् अहासिष्टम्
	यूयं क्रोधं जहीथ	यूयं क्रोधं जहीत	यूयं क्रोधम् अजहीत	यूयं क्रोधं जह्यात	यूयं क्रोधं हास्यथ	यूयं क्रोधं हातास्थ	यूयं क्रोधं हेयास्त	यूयं क्रोधम् अहास्यत	यूयं क्रोधं जह	यूयं क्रोधम् अहासिष्ट
										
उत्तमपुरुषः	अहं क्रोधं जहामि	अहं क्रोधं जहानि	अहं क्रोधम् अजहाम्	अहं क्रोधं जह्याम्	अहं क्रोधं हास्यामि	अहं क्रोधं हातास्मि	अहं क्रोधं हेयासम्	अहं क्रोधम् अहास्यम्	अहं क्रोधं जहौ	अहं क्रोधम् अहासिषम्
	आवां क्रोधं जहीवः	आवां क्रोधं जहाव	आवां क्रोधम् अजहीव	आवां क्रोधं जह्याव	आवां क्रोधं हास्यावः	आवां क्रोधं हातास्वः	आवां क्रोधं हेयास्व	आवां क्रोधम् अहास्याव	आवां क्रोधं जहिव	आवां क्रोधम् अहासिष्व
	वयं क्रोधं जहीमः	वयं क्रोधं जहाम	वयं क्रोधम् अजहीम	वयं क्रोधं जह्याम	वयं क्रोधं हास्यामः	वयं क्रोधं हातास्मः	वयं क्रोधं हेयास्म	वयं क्रोधम् अहास्याम	वयं क्रोधं जहिम	वयं क्रोधम् अहासिष्म
