	AvAM citre krIRIvaH	AvAM citre krIRAva	AvAM citre akrIRIva	AvAM citre krIRIyAva	AvAM citre krezyAvaH	AvAM citre kretAsvaH	AvAM citre krIyAsva	AvAM citre akrezyAva	AvAM citre cikriyiva	AvAM citre akrEzva
	vayaM citrARi krIRImaH	vayaM citrARi krIRAma	vayaM citrARi akrIRIma	vayaM citrARi krIRIyAma	vayaM citrARi krezyAmaH	vayaM citrARi kretAsmaH	vayaM citrARi krIyAsma	vayaM citrARi akrezyAma	vayaM citrARi cikriyima	vayaM citrARi akrEzma
										
curAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA kaTAM kaTayati	bAlakaH-bAlikA kaTAM kaTayatu	bAlakaH-bAlikA kaTAm akaTayat	bAlakaH-bAlikA kaTAM kaTayet	bAlakaH-bAlikA kaTAM kaTayizyati	bAlakaH-bAlikA kaTAM kaTayitA	bAlakaH-bAlikA kaTAM kaTyAt 	bAlakaH-bAlikA kaTAm akaTayizyat	bAlakaH-bAlikA kaTAM kaTayAYcakAra	bAlakaH-bAlikA kaTAm acakaTat
	bAlakO-bAlike kaTe kaTayataH	bAlakO-bAlike kaTe kaTayatAm	bAlakO-bAlike kaTe akaTayatAm	bAlakO-bAlike kaTe kaTayetAm	bAlakO-bAlike kaTe kaTayizyataH	bAlakO-bAlike kaTe kaTayitArO	bAlakO-bAlike kaTe kaTyAstAm	bAlakO-bAlike kaTe akaTayizyatAm	bAlakO-bAlike kaTe kaTayAYcakratuH	bAlakO-bAlike kaTe acakaTatAm
	bAlakAH-bAlikAH kaTAH kaTayanti	bAlakAH-bAlikAH kaTAH kaTayantu	bAlakAH-bAlikAH kaTAH akaTayan	bAlakAH-bAlikAH kaTAH kaTayeyuH	bAlakAH-bAlikAH kaTAH kaTayizyanti	bAlakAH-bAlikAH kaTAH kaTayitAraH	bAlakAH-bAlikAH kaTAH kaTyAsuH	bAlakAH-bAlikAH kaTAH akaTayizyan	bAlakAH-bAlikAH kaTAH kaTayAYcakruH	bAlakAH-bAlikAH acakaTan
										
maDyamapuruzaH	tvaM kaTAM kaTayasi	tvaM kaTAM kaTayasi	tvaM kaTAm akaTayaH	tvaM kaTAM kaTayeH	tvaM kaTAM kaTayizyasi	tvaM kaTAM kaTayitAsi	tvaM kaTAM kaTyAH	tvaM kaTAm akaTayizyaH	tvaM kaTAM kaTayAYcakarTa	tvaM kaTAm acakaTAH
	yuvAM kaTe kaTayaTaH	yuvAM kaTe kaTayaTaH	yuvAM kaTe akaTayatam	yuvAM kaTe kaTayetam	yuvAM kaTe kaTayizyaTaH	yuvAM kaTe kaTayitAsTaH	yuvAM kaTe kaTyAstam	yuvAM kaTe akaTayizyatam	yuvAM kaTe kaTayAYcakraTuH	yuvAM kaTe acakaTatam
	yUyaM kaTAH kaTayaTa	yUyaM kaTAH kaTayaTa	yUyaM kaTAH akaTayata	yUyaM kaTAH kaTayeta	yUyaM kaTAH kaTayizyaTa	yUyaM kaTAH kaTayitAsTa	yUyaM kaTAH kaTyAsta	yUyaM kaTAH akaTayizyata	yUyaM kaTAH kaTayAYcakra	yUyaM kaTAH acakaTata
										
uttamapuruzaH	ahaM kaTAM kaTayAmi	ahaM kaTAM kaTayAmi	ahaM kaTAm akaTayam	ahaM kaTAM kaTayeyam	ahaM kaTAM kaTayizyAmi	ahaM kaTAM kaTayitAsmi	ahaM kaTAM kaTyAsmi	ahaM kaTAm akaTayizyam	ahaM kaTAM kaTayAYcakAra, cakara	ahaM kaTAm acakaTam
	AvAM kaTe kaTayAvaH	AvAM kaTe kaTayAvaH	AvAM kaTe akaTayAva	AvAM kaTe kaTayeva	AvAM kaTe kaTayizyAvaH	AvAM kaTe kaTayitAsvaH	AvAM kaTe kaTyAsva	AvAM kaTe akaTayizyAva	AvAM kaTe kaTayAYcakfva	AvAM kaTe acakaTAva
	vayaM kaTAH kaTayAmaH	vayaM kaTAH kaTayAmaH	vayaM kaTAH akaTayAma	vayaM kaTAH kaTayema	vayaM kaTAH kaTayizyAmaH	vayaM kaTAH kaTayitAsmaH	vayaM kaTAH kaTyAsma	vayaM kaTAH akaTayizyAma	vayaM kaTAH kaTayAYcakfma	vayaM kaTAH acakaTAma
