प्रातिपदिक	नामपद	लिङ्गम्	विभक्ति	वचनम्	रूपम्
एतद्	सर्वनाम	पुं	षष्ठी	द्वि	एतयोः
एतद्	सर्वनाम	पुं	षष्ठी	बहु	एतेषाम्
एतद्	सर्वनाम	पुं	सप्तमी	एक	एतस्मिन्
एतद्	सर्वनाम	पुं	सप्तमी	द्वि	एतयोः
एतद्	सर्वनाम	पुं	सप्तमी	बहु	एतेषु
एतद्	सर्वनाम	पुं	सम्बोधन	एक	
एतद्	सर्वनाम	पुं	सम्बोधन	द्वि	
एतद्	सर्वनाम	पुं	सम्बोधन	बहु	
इदम्	सर्वनाम	पुं	प्रथमा	एक	अयम्
इदम्	सर्वनाम	पुं	प्रथमा	द्वि	इमौ
इदम्	सर्वनाम	पुं	प्रथमा	बहु	इमे
इदम्	सर्वनाम	पुं	द्वितीया	एक	इमं-एनं
इदम्	सर्वनाम	पुं	द्वितीया	द्वि	इमौ
इदम्	सर्वनाम	पुं	द्वितीया	बहु	इमान्-एनान्
इदम्	सर्वनाम	पुं	तृतीया	एक	अनेन-एनेन
इदम्	सर्वनाम	पुं	तृतीया	द्वि	आभ्याम्
इदम्	सर्वनाम	पुं	तृतीया	बहु	एभिः
इदम्	सर्वनाम	पुं	चतुर्थी	एक	अस्मै
इदम्	सर्वनाम	पुं	चतुर्थी	द्वि	आभ्याम्
इदम्	सर्वनाम	पुं	चतुर्थी	बहु	एभ्यः
इदम्	सर्वनाम	पुं	पञ्चमी	एक	अस्मात्
इदम्	सर्वनाम	पुं	पञ्चमी	द्वि	आभ्याम्
इदम्	सर्वनाम	पुं	पञ्चमी	बहु	एभ्यः
इदम्	सर्वनाम	पुं	षष्ठी	एक	अस्य
इदम्	सर्वनाम	पुं	षष्ठी	द्वि	अनयोः-एनयोः
इदम्	सर्वनाम	पुं	षष्ठी	बहु	एषाम्
इदम्	सर्वनाम	पुं	सप्तमी	एक	अस्मिन्
इदम्	सर्वनाम	पुं	सप्तमी	द्वि	अनयोः-एनयोः
इदम्	सर्वनाम	पुं	सप्तमी	बहु	एषु
इदम्	सर्वनाम	पुं	सम्बोधन	एक	
इदम्	सर्वनाम	पुं	सम्बोधन	द्वि	
इदम्	सर्वनाम	पुं	सम्बोधन	बहु	
अदस्	सर्वनाम	पुं	प्रथमा	एक	असौ
अदस्	सर्वनाम	पुं	प्रथमा	द्वि	अमू
अदस्	सर्वनाम	पुं	प्रथमा	बहु	अमी
अदस्	सर्वनाम	पुं	द्वितीया	एक	अमुम्
अदस्	सर्वनाम	पुं	द्वितीया	द्वि	अमू
अदस्	सर्वनाम	पुं	द्वितीया	बहु	अमून्
अदस्	सर्वनाम	पुं	तृतीया	एक	अमुना
अदस्	सर्वनाम	पुं	तृतीया	द्वि	अमूभ्याम्
अदस्	सर्वनाम	पुं	तृतीया	बहु	अमीभिः
अदस्	सर्वनाम	पुं	चतुर्थी	एक	अमुष्मै
अदस्	सर्वनाम	पुं	चतुर्थी	द्वि	अमूभ्याम्
अदस्	सर्वनाम	पुं	चतुर्थी	बहु	अमीभ्यः
अदस्	सर्वनाम	पुं	पञ्चमी	एक	अमुष्मात्
अदस्	सर्वनाम	पुं	पञ्चमी	द्वि	अमूभ्याम्
अदस्	सर्वनाम	पुं	पञ्चमी	बहु	अमीभ्यः
अदस्	सर्वनाम	पुं	षष्ठी	एक	अमुष्य
अदस्	सर्वनाम	पुं	षष्ठी	द्वि	अमुयोः
अदस्	सर्वनाम	पुं	षष्ठी	बहु	अमीषाम्
अदस्	सर्वनाम	पुं	सप्तमी	एक	अमुष्मिन्
अदस्	सर्वनाम	पुं	सप्तमी	द्वि	अमुयोः
अदस्	सर्वनाम	पुं	सप्तमी	बहु	अमीषु
अदस्	सर्वनाम	पुं	सम्बोधन	एक	
अदस्	सर्वनाम	पुं	सम्बोधन	द्वि	
अदस्	सर्वनाम	पुं	सम्बोधन	बहु	
किम्	सर्वनाम	पुं	प्रथमा	एक	कः
किम्	सर्वनाम	पुं	प्रथमा	द्वि	कौ
किम्	सर्वनाम	पुं	प्रथमा	बहु	के
किम्	सर्वनाम	पुं	द्वितीया	एक	कम्
किम्	सर्वनाम	पुं	द्वितीया	द्वि	कौ
किम्	सर्वनाम	पुं	द्वितीया	बहु	कान्
किम्	सर्वनाम	पुं	तृतीया	एक	केन
किम्	सर्वनाम	पुं	तृतीया	द्वि	काभ्याम्
किम्	सर्वनाम	पुं	तृतीया	बहु	कैः
किम्	सर्वनाम	पुं	चतुर्थी	एक	कस्मै
किम्	सर्वनाम	पुं	चतुर्थी	द्वि	काभ्याम्
किम्	सर्वनाम	पुं	चतुर्थी	बहु	केभ्यः
किम्	सर्वनाम	पुं	पञ्चमी	एक	कस्मात्
किम्	सर्वनाम	पुं	पञ्चमी	द्वि	काभ्याम्
किम्	सर्वनाम	पुं	पञ्चमी	बहु	केभ्यः
किम्	सर्वनाम	पुं	षष्ठी	एक	कस्य
किम्	सर्वनाम	पुं	षष्ठी	द्वि	कयोः
किम्	सर्वनाम	पुं	षष्ठी	बहु	केषाम्
किम्	सर्वनाम	पुं	सप्तमी	एक	कस्मिन्
किम्	सर्वनाम	पुं	सप्तमी	द्वि	कयोः
किम्	सर्वनाम	पुं	सप्तमी	बहु	केषु
किम्	सर्वनाम	पुं	सम्बोधन	एक	
किम्	सर्वनाम	पुं	सम्बोधन	द्वि	
किम्	सर्वनाम	पुं	सम्बोधन	बहु	
यद्	सर्वनाम	पुं	प्रथमा	एक	यः
यद्	सर्वनाम	पुं	प्रथमा	द्वि	यौ
यद्	सर्वनाम	पुं	प्रथमा	बहु	ये
यद्	सर्वनाम	पुं	द्वितीया	एक	यम्
यद्	सर्वनाम	पुं	द्वितीया	द्वि	यौ
यद्	सर्वनाम	पुं	द्वितीया	बहु	यान्
यद्	सर्वनाम	पुं	तृतीया	एक	येन
यद्	सर्वनाम	पुं	तृतीया	द्वि	याभ्याम्
यद्	सर्वनाम	पुं	तृतीया	बहु	यैः
यद्	सर्वनाम	पुं	चतुर्थी	एक	यस्मै
यद्	सर्वनाम	पुं	चतुर्थी	द्वि	याभ्याम्
यद्	सर्वनाम	पुं	चतुर्थी	बहु	येभ्यः
यद्	सर्वनाम	पुं	पञ्चमी	एक	यस्मात्
यद्	सर्वनाम	पुं	पञ्चमी	द्वि	याभ्याम्
यद्	सर्वनाम	पुं	पञ्चमी	बहु	येभ्यः
यद्	सर्वनाम	पुं	षष्ठी	एक	यस्य
यद्	सर्वनाम	पुं	षष्ठी	द्वि	ययोः
यद्	सर्वनाम	पुं	षष्ठी	बहु	येषाम्
यद्	सर्वनाम	पुं	सप्तमी	एक	यस्मिन्
यद्	सर्वनाम	पुं	सप्तमी	द्वि	ययोः
यद्	सर्वनाम	पुं	सप्तमी	बहु	येषु
यद्	सर्वनाम	पुं	सम्बोधन	एक	
यद्	सर्वनाम	पुं	सम्बोधन	द्वि	
यद्	सर्वनाम	पुं	सम्बोधन	बहु	
अस्मद्	सर्वनाम	पुं	प्रथमा	एक	अहम्
अस्मद्	सर्वनाम	पुं	प्रथमा	द्वि	आवाम्
अस्मद्	सर्वनाम	पुं	प्रथमा	बहु	वयम्
अस्मद्	सर्वनाम	पुं	द्वितीया	एक	माम्
अस्मद्	सर्वनाम	पुं	द्वितीया	द्वि	आवाम्
अस्मद्	सर्वनाम	पुं	द्वितीया	बहु	अस्मान्
अस्मद्	सर्वनाम	पुं	तृतीया	एक	मया
अस्मद्	सर्वनाम	पुं	तृतीया	द्वि	आवाभ्याम्
अस्मद्	सर्वनाम	पुं	तृतीया	बहु	अस्माभिः
अस्मद्	सर्वनाम	पुं	चतुर्थी	एक	मह्यम्
अस्मद्	सर्वनाम	पुं	चतुर्थी	द्वि	आवाभ्याम्
अस्मद्	सर्वनाम	पुं	चतुर्थी	बहु	अस्मभ्यम्
अस्मद्	सर्वनाम	पुं	पञ्चमी	एक	मत्
अस्मद्	सर्वनाम	पुं	पञ्चमी	द्वि	आवाभ्याम्
अस्मद्	सर्वनाम	पुं	पञ्चमी	बहु	अस्मत्
अस्मद्	सर्वनाम	पुं	षष्ठी	एक	मम
अस्मद्	सर्वनाम	पुं	षष्ठी	द्वि	आवयोः
अस्मद्	सर्वनाम	पुं	षष्ठी	बहु	अस्माकम्
अस्मद्	सर्वनाम	पुं	सप्तमी	एक	मयि
अस्मद्	सर्वनाम	पुं	सप्तमी	द्वि	आवयोः
अस्मद्	सर्वनाम	पुं	सप्तमी	बहु	अस्मासु
अस्मद्	सर्वनाम	पुं	सम्बोधन	एक	
अस्मद्	सर्वनाम	पुं	सम्बोधन	द्वि	
अस्मद्	सर्वनाम	पुं	सम्बोधन	बहु	
युष्मद्	सर्वनाम	पुं	प्रथमा	एक	त्वम्
युष्मद्	सर्वनाम	पुं	प्रथमा	द्वि	युवाम्
युष्मद्	सर्वनाम	पुं	प्रथमा	बहु	यूयम्
युष्मद्	सर्वनाम	पुं	द्वितीया	एक	त्वाम्
युष्मद्	सर्वनाम	पुं	द्वितीया	द्वि	युवाम्
युष्मद्	सर्वनाम	पुं	द्वितीया	बहु	युष्मान्
युष्मद्	सर्वनाम	पुं	तृतीया	एक	त्वया
युष्मद्	सर्वनाम	पुं	तृतीया	द्वि	युवाभ्याम्
युष्मद्	सर्वनाम	पुं	तृतीया	बहु	युष्माभिः
युष्मद्	सर्वनाम	पुं	चतुर्थी	एक	तुभ्यम्
युष्मद्	सर्वनाम	पुं	चतुर्थी	द्वि	युवाभ्याम्
युष्मद्	सर्वनाम	पुं	चतुर्थी	बहु	युष्मभ्यम्
युष्मद्	सर्वनाम	पुं	पञ्चमी	एक	त्वत्
युष्मद्	सर्वनाम	पुं	पञ्चमी	द्वि	युवाभ्याम्
युष्मद्	सर्वनाम	पुं	पञ्चमी	बहु	युष्मत्
युष्मद्	सर्वनाम	पुं	षष्ठी	एक	तव
युष्मद्	सर्वनाम	पुं	षष्ठी	द्वि	युवयोः
युष्मद्	सर्वनाम	पुं	षष्ठी	बहु	युष्माकम्
युष्मद्	सर्वनाम	पुं	सप्तमी	एक	त्वयि
युष्मद्	सर्वनाम	पुं	सप्तमी	द्वि	युवयोः
युष्मद्	सर्वनाम	पुं	सप्तमी	बहु	युष्मासु
युष्मद्	सर्वनाम	पुं	सम्बोधन	एक	
युष्मद्	सर्वनाम	पुं	सम्बोधन	द्वि	
युष्मद्	सर्वनाम	पुं	सम्बोधन	बहु	
सर्व	सर्वनाम	स्त्री	प्रथमा	एक	सर्वा
सर्व	सर्वनाम	स्त्री	प्रथमा	द्वि	सर्वे
सर्व	सर्वनाम	स्त्री	प्रथमा	बहु	सर्वाः
सर्व	सर्वनाम	स्त्री	द्वितीया	एक	सर्वाम्
सर्व	सर्वनाम	स्त्री	द्वितीया	द्वि	सर्वे
सर्व	सर्वनाम	स्त्री	द्वितीया	बहु	सर्वाः
सर्व	सर्वनाम	स्त्री	तृतीया	एक	सर्वया
सर्व	सर्वनाम	स्त्री	तृतीया	द्वि	सर्वाभ्याम्
सर्व	सर्वनाम	स्त्री	तृतीया	बहु	सर्वाभिः
सर्व	सर्वनाम	स्त्री	चतुर्थी	एक	सर्वायै
सर्व	सर्वनाम	स्त्री	चतुर्थी	द्वि	सर्वाभ्याम्
सर्व	सर्वनाम	स्त्री	चतुर्थी	बहु	सर्वाभ्यः
सर्व	सर्वनाम	स्त्री	पञ्चमी	एक	सर्वायाः
सर्व	सर्वनाम	स्त्री	पञ्चमी	द्वि	सर्वाभ्याम्
सर्व	सर्वनाम	स्त्री	पञ्चमी	बहु	सर्वाभ्यः
सर्व	सर्वनाम	स्त्री	षष्ठी	एक	सर्वायाः
सर्व	सर्वनाम	स्त्री	षष्ठी	द्वि	सर्वयोः
