prAtipadika	nAmapada	liNgam	viBakti	vacanam	rUpam
payomuc	nAma	puM	tftIyA	bahu	payomugBiH
payomuc	nAma	puM	caturTI	eka	payomuce
payomuc	nAma	puM	caturTI	dvi	payomugByAm
payomuc	nAma	puM	caturTI	bahu	payomugByaH
payomuc	nAma	puM	paYcamI	eka	payomucaH
payomuc	nAma	puM	paYcamI	dvi	payomugByAm
payomuc	nAma	puM	paYcamI	bahu	payomugByaH
payomuc	nAma	puM	zazWI	eka	payomucaH
payomuc	nAma	puM	zazWI	dvi	payomucoH
payomuc	nAma	puM	zazWI	bahu	payomucAm
payomuc	nAma	puM	saptamI	eka	payomuci
payomuc	nAma	puM	saptamI	dvi	payomucoH
payomuc	nAma	puM	saptamI	bahu	payomukzu
payomuc	nAma	puM	samboDana	eka	payomuk
payomuc	nAma	puM	samboDana	dvi	payOmucO
payomuc	nAma	puM	samboDana	bahu	payomucaH
vaRij	nAma	puM	praTamA	eka	vaRik
vaRij	nAma	puM	praTamA	dvi	vaRijO
vaRij	nAma	puM	praTamA	bahu	vaRijaH
vaRij	nAma	puM	dvitIyA	eka	vaRijam
vaRij	nAma	puM	dvitIyA	dvi	vaRijO
vaRij	nAma	puM	dvitIyA	bahu	vaRijaH
vaRij	nAma	puM	tftIyA	eka	vaRijA
vaRij	nAma	puM	tftIyA	dvi	vaRigByAm
vaRij	nAma	puM	tftIyA	bahu	vaRigBiH
vaRij	nAma	puM	caturTI	eka	vaRije
vaRij	nAma	puM	caturTI	dvi	vaRigByAm
vaRij	nAma	puM	caturTI	bahu	vaRigByaH
vaRij	nAma	puM	paYcamI	eka	vaRijaH
vaRij	nAma	puM	paYcamI	dvi	vaRigByAm
vaRij	nAma	puM	paYcamI	bahu	vaRigByaH
vaRij	nAma	puM	zazWI	eka	vaRijaH
vaRij	nAma	puM	zazWI	dvi	vaRijoH
vaRij	nAma	puM	zazWI	bahu	vaRijAm
vaRij	nAma	puM	saptamI	eka	vaRiji
vaRij	nAma	puM	saptamI	dvi	vaRijoH
vaRij	nAma	puM	saptamI	bahu	vaRikzu
vaRij	nAma	puM	samboDana	eka	vaRik
vaRij	nAma	puM	samboDana	dvi	vaRijO
vaRij	nAma	puM	samboDana	bahu	vaRijaH
marut	nAma	puM	praTamA	eka	marut
marut	nAma	puM	praTamA	dvi	marutO
marut	nAma	puM	praTamA	bahu	marutaH
marut	nAma	puM	dvitIyA	eka	marutam
marut	nAma	puM	dvitIyA	dvi	marutO
marut	nAma	puM	dvitIyA	bahu	marutaH
marut	nAma	puM	tftIyA	eka	marutA
marut	nAma	puM	tftIyA	dvi	marudByAm
marut	nAma	puM	tftIyA	bahu	marudBiH
marut	nAma	puM	caturTI	eka	marute
marut	nAma	puM	caturTI	dvi	marudByAm
marut	nAma	puM	caturTI	bahu	marudByaH
marut	nAma	puM	paYcamI	eka	marutaH
marut	nAma	puM	paYcamI	dvi	marudByAm
marut	nAma	puM	paYcamI	bahu	marudByaH
marut	nAma	puM	zazWI	eka	marutaH
marut	nAma	puM	zazWI	dvi	marutoH
marut	nAma	puM	zazWI	bahu	marutAm
marut	nAma	puM	saptamI	eka	maruti
marut	nAma	puM	saptamI	dvi	marutoH
marut	nAma	puM	saptamI	bahu	marutsu
marut	nAma	puM	samboDana	eka	marut
marut	nAma	puM	samboDana	dvi	marutO
marut	nAma	puM	samboDana	bahu	marutaH
suhft	nAma	puM	praTamA	eka	suhft
suhft	nAma	puM	praTamA	dvi	suhfdO
suhft	nAma	puM	praTamA	bahu	suhfdaH
suhft	nAma	puM	dvitIyA	eka	suhfdam
suhft	nAma	puM	dvitIyA	dvi	suhfdO
suhft	nAma	puM	dvitIyA	bahu	suhfdaH
suhft	nAma	puM	tftIyA	eka	suhfdA
suhft	nAma	puM	tftIyA	dvi	suhfdByAm
suhft	nAma	puM	tftIyA	bahu	suhfdBiH
suhft	nAma	puM	caturTI	eka	suhfde
suhft	nAma	puM	caturTI	dvi	suhfdByAm
suhft	nAma	puM	caturTI	bahu	suhfdByaH
suhft	nAma	puM	paYcamI	eka	suhfdaH
suhft	nAma	puM	paYcamI	dvi	suhfdByAm
suhft	nAma	puM	paYcamI	bahu	suhfdByaH
suhft	nAma	puM	zazWI	eka	suhfdaH
suhft	nAma	puM	zazWI	dvi	suhfdoH
suhft	nAma	puM	zazWI	bahu	suhfdAm
suhft	nAma	puM	saptamI	eka	suhfdi
suhft	nAma	puM	saptamI	dvi	suhfdoH
suhft	nAma	puM	saptamI	bahu	suhftsu
suhft	nAma	puM	samboDana	eka	suhft
suhft	nAma	puM	samboDana	dvi	suhfdO
suhft	nAma	puM	samboDana	bahu	suhfdaH
buD	nAma	puM	praTamA	eka	But
buD	nAma	puM	praTamA	dvi	buDO
buD	nAma	puM	praTamA	bahu	buDaH
buD	nAma	puM	dvitIyA	eka	buDam
buD	nAma	puM	dvitIyA	dvi	buDO
buD	nAma	puM	dvitIyA	bahu	buDaH
buD	nAma	puM	tftIyA	eka	buDA
buD	nAma	puM	tftIyA	dvi	BudByAm
buD	nAma	puM	tftIyA	bahu	BudBiH
buD	nAma	puM	caturTI	eka	buDe
buD	nAma	puM	caturTI	dvi	BudByAm
buD	nAma	puM	caturTI	bahu	BudByaH
buD	nAma	puM	paYcamI	eka	buDaH
buD	nAma	puM	paYcamI	dvi	BudByAm
buD	nAma	puM	paYcamI	bahu	BudByaH
buD	nAma	puM	zazWI	eka	buDaH
buD	nAma	puM	zazWI	dvi	buDoH
buD	nAma	puM	zazWI	bahu	buDAm
buD	nAma	puM	saptamI	eka	buDi
buD	nAma	puM	saptamI	dvi	buDoH
buD	nAma	puM	saptamI	bahu	Butsu
buD	nAma	puM	samboDana	eka	But
buD	nAma	puM	samboDana	dvi	buDO
buD	nAma	puM	samboDana	bahu	buDaH
Atman 	nAma	puM	praTamA	eka	AtmA
Atman 	nAma	puM	praTamA	dvi	AtmAnO
Atman 	nAma	puM	praTamA	bahu	AtmAnaH
Atman 	nAma	puM	dvitIyA	eka	AtmAnam
Atman 	nAma	puM	dvitIyA	dvi	AtmAnO
Atman 	nAma	puM	dvitIyA	bahu	AtmanaH
Atman 	nAma	puM	tftIyA	eka	AtmanA
Atman 	nAma	puM	tftIyA	dvi	AtmaByAm
Atman 	nAma	puM	tftIyA	bahu	AtmaBiH
Atman 	nAma	puM	caturTI	eka	Atmane
Atman 	nAma	puM	caturTI	dvi	AtmaByAm
Atman 	nAma	puM	caturTI	bahu	AtmaByaH
Atman 	nAma	puM	paYcamI	eka	AtmanaH
Atman 	nAma	puM	paYcamI	dvi	AtmaByAm
Atman 	nAma	puM	paYcamI	bahu	AtmaByaH
Atman 	nAma	puM	zazWI	eka	AtmanaH
Atman 	nAma	puM	zazWI	dvi	AtmanoH
Atman 	nAma	puM	zazWI	bahu	AtmanAm
Atman 	nAma	puM	saptamI	eka	Atmani
Atman 	nAma	puM	saptamI	dvi	AtmanoH
Atman 	nAma	puM	saptamI	bahu	Atmasu
Atman 	nAma	puM	samboDana	eka	Atman
Atman 	nAma	puM	samboDana	dvi	he AtmAnO
Atman 	nAma	puM	samboDana	bahu	AtmAnaH
tAdfS	nAma	puM	praTamA	eka	tAdfk
tAdfS	nAma	puM	praTamA	dvi	tAdfSI
tAdfS	nAma	puM	praTamA	bahu	tAdfMSi
tAdfS	nAma	puM	dvitIyA	eka	tAdfk
tAdfS	nAma	puM	dvitIyA	dvi	tAdfSI
tAdfS	nAma	puM	dvitIyA	bahu	tAdfMSi
tAdfS	nAma	puM	tftIyA	eka	tAdfSA
tAdfS	nAma	puM	tftIyA	dvi	tAdfgByAm
tAdfS	nAma	puM	tftIyA	bahu	tAdfgBiH
tAdfS	nAma	puM	caturTI	eka	tAdfSe
tAdfS	nAma	puM	caturTI	dvi	tAdfgByAm
tAdfS	nAma	puM	caturTI	bahu	tAdfgByaH
tAdfS	nAma	puM	paYcamI	eka	tAdfSaH
tAdfS	nAma	puM	paYcamI	dvi	tAdfgByAm
tAdfS	nAma	puM	paYcamI	bahu	tAdfgByaH
tAdfS	nAma	puM	zazWI	eka	tAdfSaH
tAdfS	nAma	puM	zazWI	dvi	tAdfSoH
tAdfS	nAma	puM	zazWI	bahu	tAdfSAm
tAdfS	nAma	puM	saptamI	eka	tAdfSi
tAdfS	nAma	puM	saptamI	dvi	tAdfSoH
tAdfS	nAma	puM	saptamI	bahu	tAdfgzu
tAdfS	nAma	puM	samboDana	eka	tAdfk
tAdfS	nAma	puM	samboDana	dvi	tAdfSO
tAdfS	nAma	puM	samboDana	bahu	tAdfMSi
candramas	nAma	puM	praTamA	eka	candramAH
candramas	nAma	puM	praTamA	dvi	candramasO
candramas	nAma	puM	praTamA	bahu	candramasaH
candramas	nAma	puM	dvitIyA	eka	candramasam
candramas	nAma	puM	dvitIyA	dvi	candramasO
candramas	nAma	puM	dvitIyA	bahu	candramasaH
candramas	nAma	puM	tftIyA	eka	candramasA
candramas	nAma	puM	tftIyA	dvi	candramoByAm
candramas	nAma	puM	tftIyA	bahu	candramoBiH
candramas	nAma	puM	caturTI	eka	candramase
candramas	nAma	puM	caturTI	dvi	candramoByAm
candramas	nAma	puM	caturTI	bahu	candramoByaH
candramas	nAma	puM	paYcamI	eka	candramasaH
candramas	nAma	puM	paYcamI	dvi	candramoByAm
candramas	nAma	puM	paYcamI	bahu	candramoByaH
candramas	nAma	puM	zazWI	eka	candramasaH
candramas	nAma	puM	zazWI	dvi	candramasoH
candramas	nAma	puM	zazWI	bahu	candramasAm
candramas	nAma	puM	saptamI	eka	candramasi
candramas	nAma	puM	saptamI	dvi	candramasoH
candramas	nAma	puM	saptamI	bahu	candramassu
candramas	nAma	puM	samboDana	eka	candramaH
candramas	nAma	puM	samboDana	dvi	he candramasO
candramas	nAma	puM	samboDana	bahu	candramasaH
anaquh	nAma	puM	praTamA	eka	anaqvAn
anaquh	nAma	puM	praTamA	dvi	anaqvAhO
anaquh	nAma	puM	praTamA	bahu	anaqvAhaH
anaquh	nAma	puM	dvitIyA	eka	anaqvAham
anaquh	nAma	puM	dvitIyA	dvi	anaqvAhO
anaquh	nAma	puM	dvitIyA	bahu	anaquhaH
anaquh	nAma	puM	tftIyA	eka	anaquhA
anaquh	nAma	puM	tftIyA	dvi	anaqudByAm
anaquh	nAma	puM	tftIyA	bahu	anaqudBiH
anaquh	nAma	puM	caturTI	eka	anaquhe
anaquh	nAma	puM	caturTI	dvi	anaqudByAm
anaquh	nAma	puM	caturTI	bahu	anaqudByaH
anaquh	nAma	puM	paYcamI	eka	anaquhaH
anaquh	nAma	puM	paYcamI	dvi	anaqudByAm
anaquh	nAma	puM	paYcamI	bahu	anaqudByaH
anaquh	nAma	puM	zazWI	eka	anaquhaH
anaquh	nAma	puM	zazWI	dvi	anaquhoH
anaquh	nAma	puM	zazWI	bahu	anaquhAm
anaquh	nAma	puM	saptamI	eka	anaquhi
anaquh	nAma	puM	saptamI	dvi	anaquhoH
anaquh	nAma	puM	saptamI	bahu	anaqutsu
anaquh	nAma	puM	samboDana	eka	anaquvan
anaquh	nAma	puM	samboDana	dvi	anaqvAhO
anaquh	nAma	puM	samboDana	bahu	anaqvAhaH
kartf	nAma	puM	praTamA	eka	kartA
kartf	nAma	puM	praTamA	dvi	kartArO
kartf	nAma	puM	praTamA	bahu	kartAraH
kartf	nAma	puM	dvitIyA	eka	kartAram
kartf	nAma	puM	dvitIyA	dvi	kartArO
kartf	nAma	puM	dvitIyA	bahu	kartFn
kartf	nAma	puM	tftIyA	eka	kartrA
kartf	nAma	puM	tftIyA	dvi	kartfByAm
kartf	nAma	puM	tftIyA	bahu	kartfBiH
kartf	nAma	puM	caturTI	eka	kartre
kartf	nAma	puM	caturTI	dvi	kartfByAm
kartf	nAma	puM	caturTI	bahu	kartfByaH
kartf	nAma	puM	paYcamI	eka	kartuH
kartf	nAma	puM	paYcamI	dvi	kartfByAm
kartf	nAma	puM	paYcamI	bahu	kartfByaH
kartf	nAma	puM	zazWI	eka	kartuH
kartf	nAma	puM	zazWI	dvi	kartroH
kartf	nAma	puM	zazWI	bahu	katFRAm
kartf	nAma	puM	saptamI	eka	kartari
kartf	nAma	puM	saptamI	dvi	kartroH
kartf	nAma	puM	saptamI	bahu	kartfzu
kartf	nAma	puM	samboDana	eka	kartaH
kartf	nAma	puM	samboDana	dvi	he kartArO
